책이름,저자,출판사,출간일,가격
중1수학(상) 파이썬 프로그래밍 ,정기철,홍릉과학출판사,2017년 03월,"16,000"
파이썬 병렬 프로그래밍,얀 팔라흐,에이콘출판사,2016년 11월,"12,600"
파이썬 프로그래밍 핵심,전희성,UUP,2021년 02월,"13,000"
스마트로봇 EV3를 활용한 Python 프로그래밍 ,남상엽,상학당,2020년 09월,"30,000"
파이썬을 이용한 데이터 분석 2/e,아르만도 판당고,에이콘출판사,2018년 01월,"27,000"
파이썬으로 배우는 수학적 프로그래밍,알란 M. 스테이블리,프리렉,2015년 08월,"22,500"
누구나 쉽게 배우는 파이썬 프로그래밍,제이슨 R. 브리그스,비제이퍼블릭(BJ퍼블릭),2013년 08월,"24,300"
파이썬을 활용한 비지도 학습,벤자민 존스턴,에이콘출판사,2019년 11월,"31,500"
토닥토닥 파이썬 기초편,권상기,플랜투비아이플러스,2019년 04월,"22,500"
파이썬으로 실무에 바로 적용하는 머신 러닝,강봉주,에이콘출판사,2019년 01월,"27,000"
파이썬 웹 스크래핑 2/e ,캐서린 자멀,에이콘출판사,2018년 12월,"22,500"
파이썬을 이용한 빅데이터 분석,유성준,21세기사,2018년 10월,"25,000"
실전 스케일링 파이썬 프로그래밍,줄리안 단주,인사이트(insight),2018년 08월,"17,100"
파이썬으로 배우는 프로그래밍 기초,임좌상,인피니티북스,2018년 02월,"23,000"
머신 러닝과 통계,프라탑 단게티,에이콘출판사,2018년 02월,"31,500"
초보자를 위한 아파치 스파크 2,라자나라야난 토투바이카투마나,에이콘출판사,2018년 01월,"27,000"
나만의 Python Game 만들기,알 슈베이가르트,정보문화사,2014년 06월,"22,500"
파이썬 완벽 가이드,데이비드 M. 비즐리,인사이트(insight),2012년 04월,"34,200"
실전! 딥러닝,오타 미쯔히사,위키북스,2019년 02월,"22,500"
코딩 클럽 LV4. 파이썬 프로그래밍 아트,크리스 로피,한빛미디어,2016년 10월,"9,000"
한권으로 파이썬과 드론 날로 먹기,이현종,잇플ITPLE,2020년 07월,"16,200"
신비한 파이썬 프로젝트,리 본,영진닷컴,2020년 05월,"21,600"
파이썬 예제와 함께하는 강화학습,김승현,홍릉과학출판사,2019년 06월,"22,000"
파이썬 마이크로서비스,타렉 지아드,에이콘출판사,2019년 05월,"31,500"
구글로 공부하는 파이썬,김용재,비제이퍼블릭(BJ퍼블릭),2018년 03월,"37,800"
컴퓨터 비전공자를 위한 파이썬을 활용한 기초컴퓨터프로그래밍,유영환,부산대학교출판부(PNU Press),2017년 08월,"24,000"
파이썬으로 시작하는 컴퓨터 과학 입문,존 M. 젤,인사이트(insight),2017년 08월,"27,000"
파이썬의 신,김주현,로드북,2016년 12월,"24,300"
머신러닝을 이용한 알고리즘 트레이딩 시스템 개발,안명호,한빛미디어,2016년 05월,"16,200"
파이썬 프로그래밍,조인석,혜지원,2016년 03월,"24,300"
파이썬 터틀 그래픽을 이용한 프로그래밍 코딩,정민영,21세기사,2017년 09월,"20,000"
똑똑한 코드 작성을 위한 실전 알고리즘,조지 하이네만,한빛미디어,2022년 05월,"17,820"
달구나 파이썬!,노순국,연두에디션,2021년 12월,"20,000"
The Python - 파이썬 프로그래밍,허진경,BOOKK(부크크),2021년 09월,"32,000"
비전공자도 쉽게 이해하는 파이썬 입문,윤선영,아이콕스(iCox),2021년 07월,"19,000"
모두를 위한 컴퓨팅 사고,김종완,정익사,2020년 03월,"23,000"
작심 3일 파이썬 Python,황덕창,스포트라잇북,2019년 04월,"16,200"
파이썬 머신러닝,세바스티안 라슈카,지앤선(志&嬋),2017년 01월,"28,800"
파이썬 분산 컴퓨팅,프란세스코 피에르페데리시,에이콘출판사,2016년 11월,"18,000"
머신 러닝 인 파이썬,마이클 보울즈,비제이퍼블릭(BJ퍼블릭),2015년 11월,"24,300"
프로그래밍이 보인다! 파이썬 입문,제이미 챈,에이콘출판사,2015년 09월,"12,600"
파이썬 데이터계산 행렬수학,김종률,경문사,2020년 12월,"29,000"
파이썬 입문 A to Z,문용준,잇플ITPLE,2019년 06월,"14,850"
파이썬과 자연어 처리,니쉬트 조쉬,에이콘출판사,2017년 07월,"25,200"
파이썬 핵심 레퍼런스,마크 러츠,인사이트(insight),2016년 08월,"15,120"
한권으로 파이썬과 드론 날로 먹기 인공지능 편,이현종,잇플ITPLE,2021년 12월,"107,800"
라이노 파이썬,김성욱,창조와지식,2021년 06월,"10,800"
파이썬 웹 프로그래밍 에센셜 개정판,김승구,BOOKK(부크크),2021년 02월,"22,200"
쏙 들어오는 파이썬 프로그래밍,진민,휴먼싸이언스,2020년 12월,"20,000"
알기 쉬운 파이썬 SQL 코딩하기,정현희,크라운출판사,2020년 03월,"13,500"
파이썬으로 배우는 프로그래밍 기초,크리스 로피,한빛아카데미,2016년 08월,"13,000"
파이썬 프로젝트 Active 개발 가이드,최원우,아이콕스(iCox),2019년 08월,"19,000"
사물인터넷 with Python 실전 프로젝트 가이드,박진현,아이콕스(iCox),2019년 08월,"24,700"
파이썬을 이용한 실전 프로그래밍,Ljubomir Perkovic,홍릉과학출판사,2019년 04월,"35,000"
파이썬으로 처음 시작하는 코딩,롭 마일스,에이콘출판사,2018년 12월,"36,000"
데이터 분석을 위한 머신 러닝 입문,하시모토 타이이치,길벗,2018년 11월,"19,800"
파이썬과 비즈니스 자동화,체탄 기리다,에이콘출판사,2018년 11월,"27,000"
우아한 사이파이,후안 누네즈-이글레시아스,한빛미디어,2018년 06월,"25,200"
"파이썬 기초의 모든 것, 14개의 코딩 이야기!",박영호,교학사,2018년 04월,"10,800"
파이썬으로 시작하는 라즈베리파이 3,김경신,복두출판사,2018년 03월,"16,000"
해커의 언어 파이썬 3 입문,오동진,에이콘출판사,2018년 03월,"22,500"
Head First Python,폴 배리,한빛미디어,2017년 12월,"28,800"
러닝스쿨! 파이썬 교과서,쿠지라 히코우즈쿠에,위키북스,2017년 07월,"19,800"
내가 하는 사물인터넷 프로그래밍 1 라즈베리 파이 파이썬 편,설상동,지식과감성#,2017년 03월,"18,000"
Try! helloworld 파이썬,정윤원,길벗,2017년 02월,"16,200"
파이썬 플레이그라운드,마헤시 벤키타찰람,에이콘출판사,2016년 11월,"27,000"
Python Programming for Beginners,제이슨 캐넌,에이콘출판사,2015년 11월,"15,300"
파이썬으로 배우는 소프트웨어와 인공지능,조행래,영남대학교출판부(知YU智),2022년 03월,"25,000"
한국어 인공지능 1,박건숙,노드미디어,2020년 02월,"23,750"
파이썬 데이터 분석,장용식,생능출판사,2022년 02월,"28,000"
컴퓨팅사고와 파이썬 프로그래밍,김영탁,홍릉,2022년 01월,"34,000"
비지니스 Python 첫걸음,나카지마 쇼,출판사Bogook(출판사보국),2021년 11월,"20,700"
통계를 위한 파이썬 프로그래밍,김진성,가메출판사,2021년 09월,"22,500"
파이썬으로 구현한 인공지능,박태희,홍릉,2021년 09월,"23,000"
3step으로 확실하게 배우는 파이썬 입문,야마다 요시히로,시그마프레스,2021년 01월,"25,000"
비공대생을 위한 코딩 첫걸음 with 파이썬,김일민,한성대학교출판부,2020년 09월,"18,000"
하루에 쪼갠다 파이썬,코딩코치스,BOOKK(부크크),2020년 08월,"9,800"
머신러닝 딥러닝 바로가기,요시카와 하야토,프리렉,2018년 07월,"22,500"
국가대표 파이썬 첫걸음,The Coding College Instructors,더코딩칼리지,2018년 07월,"21,420"
컴퓨팅 사고력을 키워주는 파이썬 프로그래밍 ,김성호,글로벌,2017년 12월,"16,200"
파이썬으로 배우는 데이터 과학 2/e ,알베르토 보스체티,에이콘출판사,2017년 12월,"27,000"
파이썬으로 구현하는 고급 머신 러닝 ,존 하티,에이콘출판사,2017년 08월,"29,700"
파이썬 웹 프로그래밍,주성식,위키북스,2016년 05월,"22,500"
파이썬 모의 해킹과 침투 테스팅,모히트,에이콘출판사,2015년 11월,"18,000"
예제 중심의 Python 3,최용,인피니티북스,2014년 02월,"22,500"
제대로 배우는 파이썬,홍의경,생능출판사,2022년 03월,"32,000"
기계학습 기반의 파이썬 활용,황철현,성진미디어,2021년 11월,"18,000"
맛있게 읽는 말랑말랑 파이썬 유쾌한 맛!,신유선,북스힐,2022년 01월,"15,200"
파이썬3 입문과 활용,심윤식,지란지교에듀랩,2021년 02월,"24,300"
딱 하루에 끝내는 파이썬 핵심기초,더 코딩 칼리지,BOOKK(부크크),2020년 05월,"12,700"
Python Machine Learning by Example ,요우시 리우,에이콘출판사,2018년 09월,"22,500"
더 탄탄하게 배우는 파이썬 3,제드 쇼,성안당,2018년 08월,"18,000"
Python과 SQL을 활용한 실전 데이터 전처리,이현호,카오스북,2018년 07월,"13,000"
이것이 우리에게 딱 맞는 딥러닝 with 텐서플로,박재용,비제이퍼블릭(BJ퍼블릭),2018년 06월,"21,600"
딥러닝 워크북 ,시미즈 료,길벗,2018년 04월,"19,800"
파이썬과 케라스로 배우는 대소니의 딥러닝 기초,김철우,디지털북스,2018년 04월,"20,700"
파이썬,정재화,에피스테메(방송대출판문화원),2018년 03월,"33,250"
IPython 6.0,토마스 비터만,에이콘출판사,2018년 03월,"27,000"
모던 파이썬 쿡북,스티븐 로트,에이콘출판사,2018년 02월,"38,700"
코딩 부트캠프 with 파이썬,유모토 미치타카,길벗,2017년 12월,"18,000"
생활 속 문제를 통해 배워보는 머신 러닝,알렉산더 콤스,에이콘출판사,2017년 11월,"27,000"
파이썬으로 배우는 대규모 머신 러닝,바스티앙 스야딘,에이콘출판사,2017년 07월,"31,500"
진짜 쉽고 쓸모 있는 언어 파이썬 ,안진섭,성안당,2016년 10월,"24,300"
파이썬 프로그래밍,김동근,가메출판사,2016년 07월,"25,200"
트위스티드,제시카 맥켈러,인사이트(insight),2014년 08월,"16,200"
스마트시티를 위한 PYTHON 프로그래밍,김성환,서울시립대학교출판부,2022년 03월,"30,000"
"안녕, 파이썬",김학인,북랩,2022년 03월,"16,110"
파이썬 첫걸음,James R. Payne,잇플ITPLE,2020년 12월,"23,400"
시작북 파이썬,코딩 코치스,BOOKK(부크크),2020년 12월,"11,000"
유튜버 주간컴공 지마&참깨의 프리패스 파이썬,지마,고시고시,2020년 09월,"16,200"
파이썬 프로그래밍,김영탁,홍릉과학출판사,2020년 01월,"34,000"
과학적 컴퓨팅을 위한 파이썬,이정환,홍릉과학출판사,2019년 09월,"25,000"
파이썬을 활용한 머신러닝 쿡북,크리스 알본,한빛미디어,2019년 09월,"29,700"
Getting Start Python(파이썬)2nd,김영아,구민사,2019년 04월,"22,500"
파이썬 튜토리얼,장혜진,홍릉과학출판사,2019년 02월,"32,000"
코딩으로 지구정복,코인 : 코딩하는 사람들,넥서스,2019년 03월,"12,420"
Python 예제로 배우는 OpenCV 3.x,Prateek Joshi,홍릉과학출판사,2018년 09월,"27,000"
PYTHON 파이썬만 잡아도,김병만,카오스북,2018년 07월,"25,000"
25시간만에 배우는 머신러닝 예제 : 파이썬 활용,김준석,이모션미디어,2018년 01월,"15,000"
딥러닝 부트캠프 with 케라스,후지타 카즈야,길벗,2017년 12월,"23,400"
장고 마스터하기,나이젤 조지,에이콘출판사,2017년 11월,"40,500"
처음 시작하는 파이썬 코딩,문병수,(유)캐멀컨설팅,2017년 07월,"14,400"
초간단 파이썬 입문서,유채곤,BOOKK(부크크),2017년 02월,"9,200"
백박스 기반의 파이썬 2.7,오동진,에이콘출판사,2016년 09월,"22,500"
파이썬을 사용한 프로그래밍 입문 ,채진석,정익사,2016년 03월,"23,000"
유쾌한 파이썬,오현석,에이콘출판사,2015년 11월,"21,600"
누구나 쉽게 배우는 코딩,브라이슨 페인,비제이퍼블릭(BJ퍼블릭),2015년 10월,"24,750"
Building Machine Learning Systems with Python 한국어판,윌리 리커트,에이콘출판사,2015년 09월,"27,000"
실전 파이썬 프로그래밍,줄리안 단주,인사이트(insight),2014년 12월,"15,300"
깐깐하게 배우는 파이썬,제드쇼,인사이트(insight),2014년 11월,"21,600"
파이썬 프로그래밍 기초부터 응용까지 세트,오현석,에이콘출판사,2014년 02월,"61,200"
파이썬3 바이블,이강성,프리렉,2013년 10월,"37,800"
플로우가 보이는 머신러닝 프로젝트,임선집,루비페이퍼,2022년 05월,"28,800"
실전 파이썬 핸즈온 프로젝트,리 본,책만,2022년 05월,"25,200"
Do it! 점프 투 파이썬 + 파이썬 라이브러리 예제 편,박응용,이지스퍼블리싱,2022년 05월,"40,320"
파이썬 프로그래밍,손승일,21세기사,2022년 01월,"30,000"
스펙트럼 머신러닝 with 파이썬,장철원,비제이퍼블릭(BJ퍼블릭),2021년 12월,"64,350"
당신이 지금 알아야 할 클라우드 세트,이영호,비제이퍼블릭(BJ퍼블릭),2020년 10월,"142,200"
Step by Step 파이썬 비즈니스 통계분석,김형수,프레딕스,2021년 11월,"32,000"
머신러닝 알고리듬 트레이딩,스테판 젠슨,에이콘출판사,2021년 09월,"76,500"
머신러닝 알고리즘 트레이딩,세바스티앙 도나디오,에이콘출판사,0001년 01월,"70,200"
